"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05150","Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","12/114","99/9399",0.121212121212121,9.99362041467305,9.96758318444464,2.15253777525168e-09,4.8647353720688e-07,4.62229164369834e-07,"FCGR2A/DEFA1/DEFA3/DEFA1B/CAMP/C5AR1/FCGR3B/FPR2/FPR1/HLA-DRB4/FCGR1A/FCAR",12
"hsa04145","Cellular Processes","Transport and catabolism","hsa04145","Phagocytosis","15/114","259/9399",0.0579150579150579,4.77494411704938,6.82600344328899,4.86394231007504e-07,5.4962548103848e-05,5.22233805923846e-05,"LAMP2/FCGR2A/DEFA1/DEFA3/DEFA1B/ALPL/FCGR3B/CD36/MMP9/NCF2/LYZ/HLA-DRB4/FCGR1A/FCAR/VPS41",15
"hsa04613","Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","10/114","195/9399",0.0512820512820513,4.2280701754386,5.04720750286745,0.000122810413952007,0.00925171785105117,0.00879064015656469,"TLR8/FCGR2A/CAMP/C5AR1/AQP9/FCGR3B/FPR2/NCF2/FPR1/FCGR1A",10
"hsa04640","Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","7/114","100/9399",0.07,5.77131578947369,5.31495056439226,0.000202894707290747,0.0114635509619272,0.0108922421808717,"MME/CD33/IL1R2/CD36/HLA-DRB4/FCGR1A/CSF3R",7
"hsa05140","Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","6/114","78/9399",0.0769230769230769,6.34210526315789,5.24937599143427,0.000352305887148657,0.0159242260991193,0.0151306107322792,"FCGR2A/PTGS2/FCGR3B/NCF2/HLA-DRB4/FCGR1A",6
