"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"181","ILMN_1904238",1.00780206418886,6.86511284093955,7.63315246890331,3.94909964830460e-11,1.04127460520121e-09,14.9656535240507,NA,NA
"182","ILMN_1915783",1.10797030109104,8.78483315748855,8.87767638616582,1.38612086621705e-13,6.84708909897842e-12,20.5285728959565,NA,NA
"183","ILMN_2047885",1.08651039291671,7.69609607867204,7.64364020494156,3.76656764298944e-11,1.00041391246195e-09,15.0121727142058,"PCDHB9","protocadherin beta 9"
"184","ILMN_2050911",-1.47750570786704,6.28788024872928,-11.419043351512,1.49659833917412e-18,3.1979800891022e-16,31.7975766706202,"SLC22A4","solute carrier family 22 member 4"
"185","ILMN_2053538",1.13597303172089,9.13312395568984,8.79345514838545,2.03414910543832e-13,9.56779455729275e-12,20.1507373051645,"RHBDL2","rhomboid like 2"
"186","ILMN_2054297",-1.40115404449908,7.6211739651416,-5.92886456768594,7.15575637766161e-08,9.73281794869504e-07,7.61473911989099,"PTGS2","prostaglandin-endoperoxide synthase 2"
"187","ILMN_2059844",1.13895876622296,7.30802924230009,9.12470198104783,4.50139808333126e-14,2.51269530835976e-12,21.6366336080307,NA,NA
"188","ILMN_2066060",-1.24934190763871,9.66572152016223,-3.37576558169052,0.00113249003155135,0.00604916969234033,-1.67393915415583,"HLA-DRB6","major histocompatibility complex, class II, DR beta 6 (pseudogene)"
"189","ILMN_2082893",1.00750388972659,7.17499294911835,8.20586611892159,2.94954914580394e-12,1.02796685506602e-10,17.5176366350807,NA,NA
"190","ILMN_2083469",-1.16107899789921,7.66734468475691,-10.0075374192214,8.19764931392938e-16,7.23599609721497e-14,25.5842143573267,"IRS2","insulin receptor substrate 2"
"191","ILMN_2087692",-1.0210708932475,6.92426752442895,-9.49684710427497,8.28865830766575e-15,5.65641040348566e-13,23.3040209779847,"CYBRD1","cytochrome b reductase 1"
